document,livelihoods_equity,nutrition_food_systems,biodiversity_ecosystems,agroecology_farming,landscapes,policy_governance_institutions,investment_markets,capacity_learning,gender_social_inclusion,climate_resilience,outcomes_impact,evidence_data_methods,total_theme_hits
"Adoption_of_Urochloa_hybrid_improved_forage_grasses_by_farmers_within_Cambodia,_Colombia,_Kenya,_Malawi,_Malaysia,_Uganda,_Vietnam,_and_Zambia.txt",3,3,3,20,2,0,8,1,2,19,9,6,76
Agro-silvo-pastoralism.txt,8,5,34,35,10,8,4,1,8,19,9,7,148
Beyond_yields_A_systems_approach_is_essential_for_reconciling_agriculture_and_biodiversity.txt,9,21,63,59,5,13,6,1,5,15,8,10,215
Biocontrol.txt,1,0,51,24,7,11,4,3,5,13,17,7,143
Bundled_agroecological_cacao_production_practices_fertilizer_and_sustainable_practices_training_benefits_over_200_organic_producers..txt,13,7,5,33,2,4,7,26,20,15,22,9,163
Co-development_enables_holistic_digital_traceability_of_sustainability._The_case_of_Peruvian_cocoa.txt,6,17,12,75,3,31,29,18,10,13,5,80,299
Concept_note_for_identifying_features_of_public_agricultural_research_to_mainstream_agroecology_in_multifunctional_landscapes.txt,1,4,4,25,13,8,2,1,1,0,1,6,66
"Explorando_los_modelos_de_negocio_para_las_transiciones_agroecológicas_en_los_cultivos_de_cacao_y_camu_camu_en_Ucayali,_Perú.txt",0,8,0,4,0,1,2,0,0,0,0,3,18
Exposure_visit_of_Government_officials_to_witness_the_revitalization_of_traditional_water-harvesting_haveli_systems_at_the_Bhadokhar_Haveli_in_the_Tahrauli_cluster.txt,5,0,9,9,17,10,1,2,1,8,5,14,81
"From_vision_to_action_(V2A)_Advancing_sustainable_management_of_multifunctional_landscapes_in_Akole,_Maharashtra_(India).txt",10,1,24,13,56,21,2,3,11,17,3,3,164
Gaps_in_the_vision_to_action_process_conducted_in_Zimbabwe.txt,44,22,49,153,8,69,181,119,127,15,39,92,918
Minimum_tillage.txt,3,0,43,110,2,5,2,2,5,15,9,5,201
"Pathways_to_Sustainable_Wheat_Business_Models_Exploring_agroecological_practices_and_investment_opportunities_in_Doyogena,_Ethiopia.txt",24,24,11,147,5,21,147,17,7,31,14,81,529
"Policy_engagement_report_Institutionalizing_multifunctional_landscapes_in_Mbire_District,_Zimbabwe.txt",30,2,40,15,37,73,5,22,30,2,5,19,280
Raíces_y_tubérculos_en_Ucayali_una_mirada_desde_el_método_5_celdas.txt,0,0,3,2,5,2,0,0,0,6,1,0,19
Scientists_develop_new_digital_tools_for_enhancing_water_management_in_a_changing_climate.txt,3,0,4,18,22,9,2,3,0,18,4,26,109
Soils_of_ILRI’s_Kapiti_Research_Station_and_Wildlife_Conservancy.txt,0,0,0,5,0,0,0,0,0,1,0,0,6
Synthesis_report_on_the_evidence_of_the_multifunctional_performance_of_LVB_landscape.txt,33,7,20,70,58,16,13,5,19,31,10,34,316
"Understanding_behavioral_changes_towards_agroecological_transitions_A_case_study_from_Mandla,_India.txt",101,120,45,642,13,199,167,183,220,40,63,113,1906
Water_&amp;_Soil_Accelerator_Program_Training_report.txt,3,3,6,42,0,2,0,48,24,7,9,37,181
