document,total_words,livelihoods_equity,nutrition_food_systems,biodiversity_ecosystems,agroecology_farming,landscapes,policy_governance_institutions,investment_markets,capacity_learning,gender_social_inclusion,climate_resilience,outcomes_impact,evidence_data_methods,livelihoods_equity_per_1000w,nutrition_food_systems_per_1000w,biodiversity_ecosystems_per_1000w,agroecology_farming_per_1000w,landscapes_per_1000w,policy_governance_institutions_per_1000w,investment_markets_per_1000w,capacity_learning_per_1000w,gender_social_inclusion_per_1000w,climate_resilience_per_1000w,outcomes_impact_per_1000w,evidence_data_methods_per_1000w,total_theme_hits
"Adoption_of_Urochloa_hybrid_improved_forage_grasses_by_farmers_within_Cambodia,_Colombia,_Kenya,_Malawi,_Malaysia,_Uganda,_Vietnam,_and_Zambia.txt",3047,3,3,3,20,2,0,8,1,2,19,9,6,0.985,0.985,0.985,6.564,0.656,0.0,2.626,0.328,0.656,6.236,2.954,1.969,76
Agro-silvo-pastoralism.txt,3098,8,5,34,35,10,8,4,1,8,19,9,7,2.582,1.614,10.975,11.298,3.228,2.582,1.291,0.323,2.582,6.133,2.905,2.26,148
Beyond_yields_A_systems_approach_is_essential_for_reconciling_agriculture_and_biodiversity.txt,3534,9,21,63,59,5,13,6,1,5,15,8,10,2.547,5.942,17.827,16.695,1.415,3.679,1.698,0.283,1.415,4.244,2.264,2.83,215
Biocontrol.txt,3321,1,0,51,24,7,11,4,3,5,13,17,7,0.301,0.0,15.357,7.227,2.108,3.312,1.204,0.903,1.506,3.914,5.119,2.108,143
Bundled_agroecological_cacao_production_practices_fertilizer_and_sustainable_practices_training_benefits_over_200_organic_producers..txt,1962,13,7,5,33,2,4,7,26,20,15,22,9,6.626,3.568,2.548,16.82,1.019,2.039,3.568,13.252,10.194,7.645,11.213,4.587,163
Co-development_enables_holistic_digital_traceability_of_sustainability._The_case_of_Peruvian_cocoa.txt,5184,6,17,12,75,3,31,29,18,10,13,5,80,1.157,3.279,2.315,14.468,0.579,5.98,5.594,3.472,1.929,2.508,0.965,15.432,299
Concept_note_for_identifying_features_of_public_agricultural_research_to_mainstream_agroecology_in_multifunctional_landscapes.txt,1034,1,4,4,25,13,8,2,1,1,0,1,6,0.967,3.868,3.868,24.178,12.573,7.737,1.934,0.967,0.967,0.0,0.967,5.803,66
"Explorando_los_modelos_de_negocio_para_las_transiciones_agroecológicas_en_los_cultivos_de_cacao_y_camu_camu_en_Ucayali,_Perú.txt",5394,0,8,0,4,0,1,2,0,0,0,0,3,0.0,1.483,0.0,0.742,0.0,0.185,0.371,0.0,0.0,0.0,0.0,0.556,18
Exposure_visit_of_Government_officials_to_witness_the_revitalization_of_traditional_water-harvesting_haveli_systems_at_the_Bhadokhar_Haveli_in_the_Tahrauli_cluster.txt,1808,5,0,9,9,17,10,1,2,1,8,5,14,2.765,0.0,4.978,4.978,9.403,5.531,0.553,1.106,0.553,4.425,2.765,7.743,81
"From_vision_to_action_(V2A)_Advancing_sustainable_management_of_multifunctional_landscapes_in_Akole,_Maharashtra_(India).txt",4259,10,1,24,13,56,21,2,3,11,17,3,3,2.348,0.235,5.635,3.052,13.149,4.931,0.47,0.704,2.583,3.992,0.704,0.704,164
Gaps_in_the_vision_to_action_process_conducted_in_Zimbabwe.txt,14068,44,22,49,153,8,69,181,119,127,15,39,92,3.128,1.564,3.483,10.876,0.569,4.905,12.866,8.459,9.028,1.066,2.772,6.54,918
Minimum_tillage.txt,3092,3,0,43,110,2,5,2,2,5,15,9,5,0.97,0.0,13.907,35.576,0.647,1.617,0.647,0.647,1.617,4.851,2.911,1.617,201
"Pathways_to_Sustainable_Wheat_Business_Models_Exploring_agroecological_practices_and_investment_opportunities_in_Doyogena,_Ethiopia.txt",10396,24,24,11,147,5,21,147,17,7,31,14,81,2.309,2.309,1.058,14.14,0.481,2.02,14.14,1.635,0.673,2.982,1.347,7.791,529
"Policy_engagement_report_Institutionalizing_multifunctional_landscapes_in_Mbire_District,_Zimbabwe.txt",3500,30,2,40,15,37,73,5,22,30,2,5,19,8.571,0.571,11.429,4.286,10.571,20.857,1.429,6.286,8.571,0.571,1.429,5.429,280
Raíces_y_tubérculos_en_Ucayali_una_mirada_desde_el_método_5_celdas.txt,16152,0,0,3,2,5,2,0,0,0,6,1,0,0.0,0.0,0.186,0.124,0.31,0.124,0.0,0.0,0.0,0.371,0.062,0.0,19
Scientists_develop_new_digital_tools_for_enhancing_water_management_in_a_changing_climate.txt,1327,3,0,4,18,22,9,2,3,0,18,4,26,2.261,0.0,3.014,13.564,16.579,6.782,1.507,2.261,0.0,13.564,3.014,19.593,109
Soils_of_ILRI’s_Kapiti_Research_Station_and_Wildlife_Conservancy.txt,570,0,0,0,5,0,0,0,0,0,1,0,0,0.0,0.0,0.0,8.772,0.0,0.0,0.0,0.0,0.0,1.754,0.0,0.0,6
Synthesis_report_on_the_evidence_of_the_multifunctional_performance_of_LVB_landscape.txt,3401,33,7,20,70,58,16,13,5,19,31,10,34,9.703,2.058,5.881,20.582,17.054,4.704,3.822,1.47,5.587,9.115,2.94,9.997,316
"Understanding_behavioral_changes_towards_agroecological_transitions_A_case_study_from_Mandla,_India.txt",35134,101,120,45,642,13,199,167,183,220,40,63,113,2.875,3.415,1.281,18.273,0.37,5.664,4.753,5.209,6.262,1.138,1.793,3.216,1906
Water_&amp;_Soil_Accelerator_Program_Training_report.txt,3039,3,3,6,42,0,2,0,48,24,7,9,37,0.987,0.987,1.974,13.82,0.0,0.658,0.0,15.795,7.897,2.303,2.962,12.175,181
