term,count
agroecological,412
las,360
are,343
farmers,340
practices,318
systems,290
food,269
que,269
actors,265
agroecology,262
los,247
cgiar,245
variedades,239
change,237
were,233
management,231
yuca,231
women,230
soil,225
para,225
knowledge,222
research,218
local,218
agricultural,218
agriculture,203
social,198
production,197
support,195
market,192
water,191
farming,183
wheat,176
development,175
was,174
por,173
con,172
land,171
community,169
sustainable,168
del,163
adoption,162
como,161
una,159
key,158
training,157
collective,156
not,155
resource,150
but,148
system,145
access,143
action,140
economic,137
governance,137
government,135
producers,134
resources,132
environmental,131
policy,128
natural,127
behavioral,126
institutional,125
transitions,125
participants,124
landscape,123
climate,120
value,120
crop,120
comunidad,118
international,117
group,115
transition,115
all,114
blanca,112
groups,108
approach,106
celdas,104
services,103
gender,103
potential,102
sector,102
practice,102
livestock,101
organic,101
activities,101
ucayali,101
limited,100
extension,99
financial,99
stakeholders,99
mandla,99
constraints,98
seed,97
control,96
cooperative,96
challenges,94
biodiversity,94
business,94
who,93
opportunities,93
initiative,93
framework,93
crops,92
changes,91
capacity,91
benefits,90
identified,90
respondents,90
participation,89
act,89
institutions,88
markets,87
its,87
need,87
sustainability,86
comunidades,86
conservation,85
improved,84
communities,84
vol,84
technical,84
structural,84
partners,83
area,83
district,83
hogares,83
conditions,82
traditional,82
actions,82
opportunity,82
farmer,81
gaps,81
actor,81
tubérculos,81
work,80
spaces,80
alls,80
role,79
like,79
coordination,79
areas,78
particularly,76
members,76
engagement,76
often,76
individual,75
quality,73
raíces,73
private,72
new,72
india,72
pathways,71
vision,71
field,71
workshop,71
tillage,71
amarilla,71
security,70
agency,70
focus,70
cultural,70
model,70
más,70
cultivo,70
ciat,69
awareness,69
enhance,68
organizations,68
multiple,68
método,68
different,67
mbire,67
multifunctional,65
landscapes,65
global,65
mechanisms,65
processes,65
digital,65
process,65
estas,65
health,64
income,63
diverse,63
infrastructure,63
nutrition,63
locales,63
address,62
understanding,62
findings,62
input,62
future,61
ecosystem,61
dynamics,61
conservación,61
interventions,60
tradicionales,60
celda,60
camote,60
household,59
efforts,59
cacao,59
incentives,59
you,59
decision-making,58
pest,58
principles,58
inputs,58
norms,58
strategies,57
participatory,57
motivations,57
desde,57
barriers,56
costs,56
science,55
performance,55
note,55
integrated,55
environment,55
implementation,55
biocontrol,55
skills,55
technologies,54
rural,54
ecological,54
review,54
youth,54
learning,54
essential,53
context,53
ethiopia,53
behaviour,53
prácticas,53
diversidad,53
part,52
requires,52
resilience,52
policies,52
rather,52
further,52
project,52
análisis,52
described,52
productivity,51
improve,51
reduce,51
indicators,51
transformation,51
mirada,51
beyond,50
factors,50
smallholder,49
products,49
livelihoods,49
cooperatives,49
shared,49
interviews,49
countries,48
critical,48
age,48
men,48
world,48
contexts,48
chain,48
collection,48
farm,47
time,47
information,47
minimum,47
también,47
number,46
case,46
methods,46
above,46
stakeholder,46
perceived,46
evidence,45
central,45
price,45
national,45
supply,45
labor,45
tools,45
bioversity,44
power,44
building,44
society,44
nature,44
create,44
providing,44
specific,44
models,44
lack,44
camu,44
kenya,43
households,43
provide,43
livelihood,43
without,43
enabling,43
